level,oik,tik,uik,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,"Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных участковой избирательной комиссией избирателям","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке",Число погашенных на избирательном участке открепительных удостоверений,"Число открепительных удостоверений, выданных территориальной комиссией избирателям",Число утраченных открепительных удостоверений,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Вишневский Борис Геннадьевич,Вишневский Борис Иванович,Вишневский Борис Лазаревич,Евсеев Александр Иванович,Костров Ярослав Всеволодович,Лебедева Екатерина Олеговна,Ржаненков Александр Николаевич,Садовская Дарья Сергеевна,Суходольский Вадим Александрович,url
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2240,3159,2500,1032,177,1291,177,1024,32,1169,0,0,0,0,0,0,0,0,19,9,227,112,155,57,493,81,16,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2241,1345,1000,431,14,555,14,430,16,428,0,0,0,0,0,0,0,0,8,5,146,36,62,22,91,44,14,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2242,1185,1000,356,4,640,4,350,19,335,0,0,0,0,0,0,0,0,1,4,107,30,46,11,90,39,7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2243,1990,1500,630,6,864,6,628,22,612,0,0,0,0,0,0,0,0,15,5,178,50,63,13,249,28,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2244,1772,1500,600,23,877,23,598,11,610,0,0,0,0,0,0,0,0,11,7,175,55,141,26,143,41,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2245,1461,1200,475,11,714,11,472,25,458,0,0,0,0,0,0,0,0,7,10,156,39,77,14,107,37,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2246,1188,1000,380,10,610,10,379,10,379,0,0,0,0,0,0,0,0,2,2,142,28,67,14,88,30,6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2247,1921,1500,610,45,845,45,551,14,582,0,0,0,0,0,0,0,0,1,3,7,2,3,4,549,10,3,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2248,1734,1500,541,28,931,28,538,25,541,0,0,0,0,0,0,0,0,9,9,153,37,120,24,136,38,15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2249,1851,1500,644,17,839,17,644,26,635,0,0,0,0,0,0,0,0,12,15,140,30,51,13,296,41,37,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
