id,genre,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
4i2qxFEVVUi8yOYoxB8TCX,dance pop,78,223280,0.699,0.805,0.00177,0.249,-5.535,0,0.0345,109.976,0.232
6qCsKKS7Ol63SJW3LOIX5R,dance pop,79,205733,0.551,0.756,0,0.0765,-4.948,1,0.0652,175.984,0.618
37PJvlIfYWqEX6fgjHlnTf,dance pop,72,171800,0.564,0.849,0,0.269,-2.619,0,0.248,157.905,0.634
5GK1GYXH16RdfmltogHhAk,dance pop,73,213671,0.58,0.908,4.84E-05,0.087,-5.303,1,0.0341,115.016,0.427
4U34WsyOvppOMnRfq7DuOy,dance pop,71,189013,0.638,0.918,0.00805,0.0948,-4.368,1,0.0382,134.022,0.668
4v8jmsVox8VwU5js3JHOJZ,dance pop,71,151720,0.659,0.765,0,0.0783,-5.392,0,0.0591,89.983,0.41
7faDzZnZYqTyYThx2sbHVQ,adult standards,48,136426,0.607,0.103,0,0.076,-14.405,1,0.0404,110.378,0.341
27qAMKrDdKEs8HDXcvR24R,blues rock,52,241626,0.513,0.583,1.96E-05,0.18,-10.863,1,0.038,180.183,0.866
1Si3sqUkvIj6Cz9JYO14OS,melodic rap,62,175110,0.86,0.488,0,0.159,-6.431,1,0.461,78.559,0.274
030mot3ZKR3oskfMsqDB2R,adult standards,52,162333,0.156,0.184,0.00458,0.26,-14.82,1,0.0393,180.887,0.107
1OjmlSFuzYflWjSMTCyTJv,boy band,56,200880,0.725,0.571,0,0.0519,-6.007,1,0.102,146.035,0.61
25leEEaz1gIpp7o21Fqyjo,adult standards,51,150266,0.834,0.371,0,0.275,-11.99,1,0.0358,96.628,0.976
5xlS0QkVrSH7ssEbBgBzbM,baroque pop,53,118840,0.602,0.553,0,0.0512,-9.336,1,0.0328,130.594,0.971
15coTBAzEN1bOeipoNDZAR,boy band,40,255306,0.643,0.939,0,0.881,-3.967,1,0.0463,104.999,0.756
2LseyBkPJv7r7wCt2yMEgX,dance pop,69,196760,0.474,0.54,1.03E-05,0.299,-6.862,1,0.035,72.995,0.239
2QWKbE6GpWhRtlbRwcP7g8,adult standards,48,176800,0.566,0.468,2.49E-05,0.259,-9.575,1,0.116,149.328,0.718
47KegqqrzpKw0jdHFWqtNb,dance pop,68,188200,0.82,0.568,0.0092,0.169,-6.963,1,0.0538,113.941,0.478
299lFlaAsNQdgbIZNPmIA0,adult standards,48,166386,0.388,0.145,6.86E-06,0.0997,-19.697,0,0.0318,75.474,0.0911
47otoIkhx3fkdivEXL5OB6,adult standards,48,130026,0.67,0.275,0,0.199,-12.755,1,0.0385,152.649,0.806
07RmHXaYqBdUyfAESPZkRO,adult standards,50,159440,0.47,0.232,0,0.104,-15.662,1,0.192,201.258,0.552
1Tip6R4swhC7E6hgILBjrE,dance pop,70,220636,0.681,0.737,7.16E-06,0.0856,-5.246,0,0.0384,109.95,0.278
0rFcav2bUNH6NC9576Viiu,dance pop,68,157800,0.652,0.597,0.00103,0.238,-6.536,0,0.0286,90.022,0.333
0uinQuLSYDMua89kLVVnjv,dmv rap,67,194358,0.648,0.722,0,0.169,-9.992,0,0.489,176.553,0.275
6Tof6kPUc2a17GKaKz4IXz,movie tunes,36,315733,0.478,0.475,0.00372,0.133,-10.901,1,0.28,89.2,0.437
02MWAaffLxlfxAUY7c5dvx,gauze pop,86,238805,0.761,0.525,6.70E-06,0.0921,-6.9,1,0.0944,80.87,0.531
1yhft6ZqYadd4GOrKrmK3a,,75,201350,0.51,0.929,5.39E-06,0.101,-4.685,1,0.0456,122.036,0.438
3uVPLtkmDu8pDkYEAVqbgS,chicago rap,78,183782,0.703,0.703,0,0.12,-4.672,1,0.133,76.017,0.697
3qCeq0rWK67SoBDgFd2sId,latin pop,48,182306,0.514,0.818,1.93E-06,0.299,-9.642,1,0.0451,148.733,0.967
0zLCBJZSiELJf02ucPP9wb,melodic rap,77,176867,0.769,0.719,0.00777,0.359,-5.472,1,0.0474,121.955,0.863
1ko2lVN0vKGUl9zrU0qSlT,jazz funk,83,237106,0.802,0.488,0.0598,0.0763,-9.304,1,0.0813,95.77,0.624
1HbA4N1MiOsPthALesGFR1,canadian pop,80,178994,0.64,0.392,0,0.0839,-7.246,0,0.0574,145.838,0.502
6eVxH9Kyanzrw636zJRPcw,atl hip hop,79,210698,0.887,0.606,0,0.151,-6.572,1,0.324,139.995,0.272
6ZuahEctZD6w75peme58hm,canadian pop,79,172692,0.442,0.631,2.29E-05,0.133,-5.096,0,0.05,139.774,0.129
